"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Capalaba (QLD)","Race 2","2","","CONDUCTION (8)","Robert Ayres","20.62","6.75","","","32.2kg","Superior Panama","Super Yesy","$4.40"
"Capalaba (QLD)","Race 2","3","","BIG OPERATOR (7)","Jason Bloomfield","20.69","7.75","","","31.8kg","Feral Franky","Expat Hellcat","$4.60"
"Capalaba (QLD)","Race 2","4","","FEDERAL MASTER (2)","Kevin Kemp","20.70","7.88","","","32.5kg","Good Odds Harada","Federal Finance","$16.00"
"Capalaba (QLD)","Race 2","5","","BIG NATE (1)","Gloria Falla","20.74","8.38","","","34.1kg","Orson Allen","Zipping Fancy","$41.00"
"Capalaba (QLD)","Race 2","6","","KING MOSES (6)","Jodi Davis","21.07","13.13","","","30.4kg","Hooked On Scotch","Recklessness","$71.00"
"Capalaba (QLD)","Race 2","7","","STAY TIPSY (5)","Brent Kline","21.29","16.38","","","25.7kg","Aston Rupee","Shilo","$13.00"
"Capalaba (QLD)","Race 2","8","","BUNDY BLACK (3)","K Buhner","21.33","16.88","","","26.1kg","Bearability","Red Calibre","$101.00"
"Capalaba (QLD)","Race 2","SCR","","HARD STYLE TIGER","Steven Scells","","","","","","Hard Style Rico","Isla's Style",""
"Capalaba (QLD)","Race 2","SCR","","MY MAN JACKSON","Douglas Gladman","","","","","","Aston Rupee","Ally Oop Keats",""
"Capalaba (QLD)","Race 3","1","","SPEEDY SAPPHIRE (8)","William Page","20.20","0.00","","21","24.9kg","Koblenz","Sapphire Queen","$4.40"
"Capalaba (QLD)","Race 3","2","","TITANIUM BLUE (1)","Douglas Gladman","20.22","0.13","","65","35.1kg","Aston Rupee","Tyanna Belle","$1.18"
"Capalaba (QLD)","Race 3","3","","LUCORA (7)","Stephen Neary","20.43","3.13","","54","33.2kg","Zack Monelli","Minter Fly","$41.00"
"Capalaba (QLD)","Race 3","4","","ROW OF WAVES (2)","Robert Patching","20.46","3.63","","32","31.2kg","Zambora Brockie","Lombardy","$51.00"
"Capalaba (QLD)","Race 3","5","","WALLY'S BOY (4)","George Kadniak","20.73","7.38","","13","30.3kg","Maurice Minor","Soft Sand","$61.00"
"Capalaba (QLD)","Race 3","6","","BLAZING BRONCO (6)","Renald Attard","20.74","7.50","","46","32.8kg","My Redeemer","Belvedere Babe","$19.00"
"Capalaba (QLD)","Race 3","SCR","","BRINDLE FUGITIVE","Raymond Burman","","","","","","Aston Rupee","Out Of Champagne",""
"Capalaba (QLD)","Race 4","1","","JET SPRINGER (1)","K Buhner","20.25","0.00","","","32.9kg","Orson Allen","Boil And Bubble","$2.40"
"Capalaba (QLD)","Race 4","2","","HOLLY MAGIC (8)","Christopher Brydon","20.35","1.25","","","25.8kg","Keybow","Winlock Evie","$1.90"
"Capalaba (QLD)","Race 4","3","","BLUE RIDGE (6)","Raymond Burman","20.50","3.50","","","27.7kg","Tommy Shelby","Champagne Sally","$6.50"
"Capalaba (QLD)","Race 4","4","","PENNANT PLAYER (4)","Eric Raeburn","20.52","3.63","","","31.0kg","Feral Franky","Barcia Jeanes","$16.00"
"Capalaba (QLD)","Race 4","5","","MYKA (3)","Craig Cassidy","20.86","8.63","","","25.5kg","My Redeemer","Oh So Nice","$41.00"
"Capalaba (QLD)","Race 4","6","","LORD APOLLON (7)","Darren Taylor","21.02","10.88","","","33.3kg","Zambora Brockie","Kraken Katie","$71.00"
"Capalaba (QLD)","Race 4","SCR","","LILLY DRAGON","Paul Cauchi","","","","","","Tommy Shelby","Regal Jade",""
"Capalaba (QLD)","Race 5","1","","HOCKING (8)","Paul Cauchi","19.95","0.00","","","32.4kg","My Redeemer","Tahlia's Way","$1.65"
"Capalaba (QLD)","Race 5","2","","TURBO EXPRESS (7)","George Kadniak","20.59","9.00","","","32.3kg","Aussie Infrared","Final Chalice","$81.00"
"Capalaba (QLD)","Race 5","3","","CUNNING KICK (3)","Jeff Cumming","20.63","9.50","","","36.7kg","Fabregas","My Kinda Song","$3.10"
"Capalaba (QLD)","Race 5","4","","RATTLESNAKE LAD (4)","Cynthia Suttle","21.15","17.00","","","31.9kg","Beast Unleashed","Rattlesnake Cafe","$4.60"
"Capalaba (QLD)","Race 5","5","","JILLIBY SHAUN (2)","Kevin Kemp","21.23","18.25","","","27.6kg","Federal Morgan","Dantelah","$101.00"
"Capalaba (QLD)","Race 5","6","","ROSMARINO (5)","Brent Kline","21.83","26.75","","","27.2kg","Aston Rupee","Shilo","$26.00"
"Capalaba (QLD)","Race 5","7","","PIMMY (1)","Craig Cassidy","24.07","58.75","","","26.1kg","My Redeemer","Oh So Nice","$81.00"
"Capalaba (QLD)","Race 5","SCR","","SOMERSET BLUEY","Keith Donaldson","","","","","","Beast Unleashed","Try Catch Tanya",""
"Capalaba (QLD)","Race 6","1","","BAD BOY WILSON (2)","Dyllan Heddles","19.59","0.00","","","36.5kg","Aston Rupee","Keiki","$3.70"
"Capalaba (QLD)","Race 6","2","","KAJAGOOGOO (8)","Mark Saal","19.73","2.00","","","32.5kg","Barcia Bale","Pump It","$8.00"
"Capalaba (QLD)","Race 6","3","","CASH HANDY (7)","John Jeffrey","19.86","3.75","","","33.3kg","Aussie Infrared","Athletic Lee","$3.70"
"Capalaba (QLD)","Race 6","4","","KYOTO (6)","Casey Dargusch","19.96","5.25","","","28.3kg","Bernardo","Gunnell","$2.60"
"Capalaba (QLD)","Race 6","5","","HENDRIX DUTTON (5)","Jeff Cumming","20.27","9.50","","","29.9kg","Flying Ricciardo","Two Points Away","$8.50"
"Capalaba (QLD)","Race 6","6","","HAGGLER (4)","Michael Lalicz","20.29","9.75","","","32.4kg","Jungle Deuce","Ripple Rumble","$51.00"
"Capalaba (QLD)","Race 6","7","","DYNASTY (1)","Eric Raeburn","20.31","9.88","","","29.0kg","Bernardo","Gunnell","$26.00"
"Capalaba (QLD)","Race 6","8","","MISTY RUMBLE (3)","William Warner","20.43","11.63","","","27.5kg","Pindari Express","Joyce Rumble","$101.00"
"Capalaba (QLD)","Race 6","SCR","","CLASS OF TWENTY","George Kadniak","","","","","","Brolly Bale","Smashniak Class",""
"Capalaba (QLD)","Race 6","SCR","","SHOWTIME JOKER","Gloria Falla","","","","","","Orson Allen","Fireball Sam",""
"Capalaba (QLD)","Race 7","1","","COOL BANANAS (7)","John Jeffrey","19.83","0.00","","","32.4kg","Shima Shine","Jo Jo","$3.10"
"Capalaba (QLD)","Race 7","2","","CRICKLE OWL VIC (4)","Stephen Kavanagh","20.02","2.75","","","32.3kg","Pestana","Joyce Rumble","$3.70"
"Capalaba (QLD)","Race 7","3","","INFRA TERRA (8)","Rod Herr","20.02","2.78","","","32.3kg","Aussie Infrared","Double Supreme","$4.00"
"Capalaba (QLD)","Race 7","4","","BAD BOY ELVIS (6)","Dyllan Heddles","20.04","2.91","","","37.0kg","Aston Rupee","Keiki","$6.50"
"Capalaba (QLD)","Race 7","5","","TOO MUCH SCOTCH (2)","John Kuhn","20.14","4.41","","","31.9kg","Hooked On Scotch","Miss Emmy","$6.50"
